h3_index,sst_mean_celsius,sst_std_celsius,sst_quality,latitude,longitude,n_points,date,confidence,anomaly_celsius
8501b59bfffffff,0.027049998,0.0004926242,0.25,69.770836,49.45834,8,2024-11-17,high,-0.08152979
8501b5bbfffffff,0.026521873,0.00028983882,1.0,70.05729,49.39584,8,2024-11-17,high,-0.08205791
8501b5c7fffffff,0.026099999,0.0,0.0,69.79167,49.97917,2,2024-11-17,medium,-0.08247979
8501b5d7fffffff,0.026137497,5.303259e-05,0.0,69.770836,49.91667,2,2024-11-17,medium,-0.08244228
85062937fffffff,0.032925,0.0,1.0,65.645836,-27.687496,1,2024-11-17,low,-0.07565479
85062983fffffff,0.0097458325,0.00029682353,1.0,66.0625,-26.708328,6,2024-11-17,high,-0.09883395
85062987fffffff,0.015760714,0.0043475376,0.21428571428571427,65.95684,-26.805056,28,2024-11-17,high,-0.09281907
8506298ffffffff,0.011949999,0.0,2.0,66.04464,-26.967257,7,2024-11-17,high,-0.09662978
85062997fffffff,0.009551922,0.0015094652,0.38461538461538464,65.97596,-26.47916,13,2024-11-17,high,-0.099027865
850629a3fffffff,0.0264,0.0020485108,0.0,65.75694,-27.2662,18,2024-11-17,high,-0.082179785
850629a7fffffff,0.022175,0.0015309311,2.0,65.59722,-27.19444,6,2024-11-17,high,-0.086404786
850629abfffffff,0.03080357,0.0023034583,0.0,65.8125,-27.479162,7,2024-11-17,high,-0.077776216
850629affffffff,0.03140625,0.0030019486,0.35714285714285715,65.70536,-27.531246,28,2024-11-17,high,-0.07717353
850629b3fffffff,0.01835,0.0,0.0,65.80787,-26.983791,9,2024-11-17,high,-0.09022979
850629b7fffffff,0.02155,0.0,2.0,65.604164,-27.062496,1,2024-11-17,low,-0.087029785
850629bbfffffff,0.01858611,0.00241354,0.2222222222222222,65.918976,-27.02546,9,2024-11-17,high,-0.08999367
8506403bfffffff,0.033065,0.0004075836,0.4,61.770832,-33.437496,5,2024-11-17,medium,-0.075514786
85064043fffffff,0.036012497,0.00083252083,0.4,62.30833,-33.579163,10,2024-11-17,high,-0.072567284
8506404bfffffff,0.03715,0.0,0.0,62.354164,-33.70833,2,2024-11-17,medium,-0.07142979
8506404ffffffff,0.035249997,0.0,0.0,62.3125,-33.77083,1,2024-11-17,low,-0.07332979
85064057fffffff,0.0349,0.0,1.0,62.270832,-33.39583,1,2024-11-17,low,-0.07367979
850640a3fffffff,0.03475,0.0,1.0,61.604168,-32.60416,3,2024-11-17,medium,-0.073829785
8506412bfffffff,0.03456875,0.0014953759,0.5,60.597218,-33.888885,12,2024-11-17,high,-0.074011035
8506412ffffffff,0.03128333,1.4434001e-05,2.0,60.479168,-33.812496,3,2024-11-17,medium,-0.07729645
8506413bfffffff,0.034709997,0.00022121792,1.0,60.6875,-33.604164,5,2024-11-17,medium,-0.07386979
85064143fffffff,0.0335275,0.0021944195,1.0,61.2,-33.808327,10,2024-11-17,high,-0.07505228
85064147fffffff,0.03415833,0.00096767856,0.5833333333333334,61.0625,-33.83333,12,2024-11-17,high,-0.07442145
8506414bfffffff,0.035947498,0.00070121634,0.3,61.29583,-33.99166,20,2024-11-17,high,-0.07263228
8506414ffffffff,0.035139285,0.00054215227,0.8571428571428571,61.169643,-34.032734,7,2024-11-17,high,-0.0734405
8506415bfffffff,0.036174998,0.0007588373,0.5,61.354164,-33.83333,4,2024-11-17,medium,-0.07240479
85064163fffffff,0.0340125,0.0010023057,0.2,60.80833,-34.149998,10,2024-11-17,high,-0.07456729
85064167fffffff,0.034879997,0.00096168555,0.3333333333333333,60.6875,-34.076385,15,2024-11-17,high,-0.07369979
8506416bfffffff,0.03352647,0.0011519503,0.35294117647058826,60.903183,-34.3223,17,2024-11-17,high,-0.07505332
8506416ffffffff,0.033915907,0.0005610572,0.6363636363636364,60.782192,-34.312496,11,2024-11-17,high,-0.07466388
85064173fffffff,0.034292854,0.00032071493,1.0,60.87202,-33.776783,7,2024-11-17,high,-0.07428693
85064177fffffff,0.035375,0.0,0.0,60.6875,-33.937496,1,2024-11-17,low,-0.073204786
8506417bfffffff,0.033949997,0.0,1.0,61.020832,-33.95833,2,2024-11-17,medium,-0.07462978
85064183fffffff,0.036075,2.738455e-05,1.0,60.9375,-32.437496,6,2024-11-17,high,-0.07250479
8506418bfffffff,0.035775,0.0,1.0,61.020832,-32.72916,3,2024-11-17,medium,-0.072804786
85064197fffffff,0.033375,0.0,1.0,60.8125,-32.104164,1,2024-11-17,low,-0.07520479
850641c7fffffff,0.036,0.0,1.0,61.145832,-33.062496,1,2024-11-17,low,-0.072579786
850641cffffffff,0.036,0.0,1.0,61.145832,-33.124996,2,2024-11-17,medium,-0.072579786
8506420bfffffff,0.031713888,0.0005015578,0.8333333333333334,62.680557,-35.180553,18,2024-11-17,high,-0.0768659
8506420ffffffff,0.033025,0.0,0.0,62.520832,-35.354164,1,2024-11-17,low,-0.07555479
85064223fffffff,0.031637497,0.00066943973,0.42857142857142855,62.19047,-35.28571,14,2024-11-17,high,-0.07694229
85064227fffffff,0.025541665,1.4432926e-05,2.0,62.020832,-35.27083,3,2024-11-17,medium,-0.08303812
8506422bfffffff,0.031252775,0.0011400684,0.7777777777777778,62.243057,-35.534718,9,2024-11-17,high,-0.07732701
8506422ffffffff,0.032464284,0.00019677325,0.42857142857142855,62.175594,-35.491066,7,2024-11-17,high,-0.076115504
85064243fffffff,0.03223333,1.4434001e-05,0.0,62.979168,-35.47916,3,2024-11-17,medium,-0.07634646
85064247fffffff,0.030425,0.0,1.0,62.729164,-35.312496,1,2024-11-17,low,-0.07815479
8506424bfffffff,0.032790624,0.00055571797,0.1875,63.020832,-35.6901,16,2024-11-17,high,-0.07578916
8506425bfffffff,0.031514995,0.00039637255,0.5,63.05833,-35.48333,10,2024-11-17,high,-0.07706479
85064263fffffff,0.031692304,0.0010261766,0.34615384615384615,62.501602,-35.767624,26,2024-11-17,high,-0.07688748
85064267fffffff,0.032721248,0.0004979749,0.15,62.35625,-35.78541,20,2024-11-17,high,-0.07585853
8506426bfffffff,0.032334376,0.0006519958,0.2916666666666667,62.588543,-36.024303,24,2024-11-17,high,-0.07624541
8506426ffffffff,0.03146375,0.0018696059,0.35,62.4375,-36.058327,20,2024-11-17,high,-0.077116035
85064273fffffff,0.031808693,0.0010441835,0.30434782608695654,62.580616,-35.450176,23,2024-11-17,high,-0.076771095
85064277fffffff,0.0311125,0.0015379596,0.5,62.458332,-35.624996,2,2024-11-17,medium,-0.077467285
8506427bfffffff,0.0325875,0.00052838196,0.8333333333333334,62.659718,-35.805553,6,2024-11-17,high,-0.075992286
850642c3fffffff,0.025925,0.0,2.0,62.979164,-34.666664,4,2024-11-17,medium,-0.08265479
850642cbfffffff,0.03244062,0.001077359,0.75,63.083332,-34.89583,8,2024-11-17,high,-0.07613917
85064343fffffff,0.034390908,0.0012221301,0.2727272727272727,61.797348,-35.56818,22,2024-11-17,high,-0.07418887
85064347fffffff,0.034618746,0.0016253834,0.375,61.632812,-35.624996,16,2024-11-17,high,-0.073961034
8506434bfffffff,0.033625,0.00087269174,0.0,61.865032,-35.81431,23,2024-11-17,high,-0.074954785
8506434ffffffff,0.03473611,0.00079898746,0.0,61.71219,-35.849533,27,2024-11-17,high,-0.07384367
85064353fffffff,0.030524999,0.0020859647,1.0,61.875,-35.416664,2,2024-11-17,medium,-0.078054786
85064357fffffff,0.033025,0.0,1.0,61.770832,-35.374996,2,2024-11-17,medium,-0.07555479
8506435bfffffff,0.03189375,0.0018219268,0.375,61.90625,-35.572914,8,2024-11-17,high,-0.07668604
85064363fffffff,0.034063093,0.0010989659,0.0,61.415672,-35.901783,21,2024-11-17,high,-0.07451669
85064367fffffff,0.032917853,0.00035860634,0.14285714285714285,61.270832,-35.93452,14,2024-11-17,high,-0.07566193
8506436bfffffff,0.033729807,0.00024187006,0.0,61.498394,-36.14583,26,2024-11-17,high,-0.07484998
8506436ffffffff,0.033480767,0.00046229354,0.0,61.330124,-36.157047,26,2024-11-17,high,-0.07509902
85064373fffffff,0.03582,0.00024836985,0.0,61.50416,-35.712498,5,2024-11-17,medium,-0.072759785
8506437bfffffff,0.034901135,0.0010130245,0.09090909090909091,61.564392,-35.859844,22,2024-11-17,high,-0.07367865
85064383fffffff,0.036429543,0.00018090704,0.0,61.498104,-34.22159,11,2024-11-17,high,-0.072150245
85064387fffffff,0.036592104,0.0003935292,0.15789473684210525,61.38706,-34.25548,19,2024-11-17,high,-0.07198768
8506438ffffffff,0.0372,0.0,0.0,61.4375,-34.39583,1,2024-11-17,low,-0.07137978
85064397fffffff,0.03635,0.0005582711,0.15789473684210525,61.45285,-34.003284,19,2024-11-17,high,-0.07222979
850643a3fffffff,0.034649998,0.0002886757,1.0,61.166664,-34.437496,4,2024-11-17,medium,-0.07392979
